id,name,absolute_magnitude_h,is_potentially_hazardous
2388945,388945 (2008 TZ3),20.44,True
2530520,530520 (2011 LT17),21.85,True
3141525,(2002 UQ12),22.39,False
3662228,(2014 DQ),24.7,False
3763271,(2016 VS),27.4,False
3825766,(2018 NC15),21.79,False
3838904,(2019 ED1),27.63,False
3547677,(2010 ST16),23.25,False
3564853,(2011 JX1),18.0,False
3647027,(2013 RE6),21.51,False
2837610,837610 (2013 RE6),21.49,False
3655761,(2014 AE29),27.4,False
3736497,(2015 XF261),25.25,False
3740825,(2016 BN1),20.65,False
3761030,(2016 TQ56),23.95,False
3892775,(2019 VB5),31.7,False
3261681,(2004 VJ1),24.1,False
3879727,(2019 UX6),26.9,False
2530974,530974 (2012 BN11),20.78,True
3721139,(2015 LC21),23.0,False
3843098,(2019 MT3),22.93,False
54427459,(2024 BY15),26.78,False
3336867,(2006 MB),22.59,False
3802390,(2018 GE),27.5,False
3838104,(2019 CH1),21.22,True
3991612,(2020 DJ),26.2,False
2478784,478784 (2012 UV136),25.6,False
3304382,(2005 WR2),19.52,False
3644087,(2013 MR),21.62,False
3892162,(2019 UK13),24.71,False
2662203,662203 (2005 WR2),19.47,False
3426410,(2008 QV11),21.34,False
3672459,(2014 KG39),25.0,False
3673916,(2014 MG6),26.2,False
3837643,(2019 AX3),27.5,False
3843278,(2019 NX5),29.1,False
